update,seen_steps,sps,mean_step_reward,episodes_ended,ep_return_ema,ep_len_ema,term_wall,term_obstacle,term_friendly,term_enemy,term_timeout,shots_fired,shots_hit,shots_hit_friendly,shots_missed,shot_hit_rate,friendly_fire_rate,kl,entropy,pg_loss,v_loss,eval_mean,eval_std,eval_len,best_eval
341,349184,4580,0.218878,0,-56.945289,542.391730,0,0,0,0,0,47,6,1,40,0.127660,0.021277,0.001914,3.095198,-0.000941,216.018326,,,,89.071708
342,350208,4551,-0.152853,2,-62.966748,556.952557,0,0,0,1,1,46,1,1,44,0.021739,0.021739,0.002505,3.092668,-0.001844,109.782999,,,,89.071708
343,351232,4523,0.076396,1,-55.665852,601.357301,0,0,0,0,1,46,6,1,39,0.130435,0.021739,0.001327,3.082805,-0.002205,215.845899,,,,89.071708
344,352256,4492,-0.175665,3,-42.474784,626.388238,0,0,1,0,2,49,4,2,43,0.081633,0.040816,0.002083,3.079598,-0.000882,421.406391,,,,89.071708
345,353280,4465,0.214738,2,-44.413305,624.849414,0,1,0,1,0,50,6,0,44,0.120000,0.000000,0.003941,3.088099,0.000642,156.418228,,,,89.071708
346,354304,4440,-0.429376,4,-41.184074,606.139473,0,0,0,3,1,47,0,1,46,0.000000,0.021277,0.003654,3.082674,0.001547,274.246305,,,,89.071708
347,355328,4414,0.207408,0,-41.184074,606.139473,0,0,0,0,0,46,2,0,44,0.043478,0.000000,0.001669,3.077966,0.000293,33.400686,,,,89.071708
348,356352,4387,0.001182,2,-38.801581,576.325525,0,0,0,2,0,47,2,0,45,0.042553,0.000000,0.001736,3.091566,-0.002975,109.131224,,,,89.071708
349,357376,4361,0.247001,3,-33.781700,585.226306,0,0,0,2,1,48,6,0,42,0.125000,0.000000,0.000854,3.080331,0.000598,140.293237,,,,89.071708
350,358400,4336,0.194422,0,-33.781700,585.226306,0,0,0,0,0,47,4,0,43,0.085106,0.000000,0.002286,3.083307,-0.001194,57.696424,-43.350568,246.835017,796.50,89.071708
351,359424,3700,0.074547,2,-32.234805,594.003676,0,0,0,1,1,49,7,1,41,0.142857,0.020408,0.003354,3.076635,-0.002875,263.844858,,,,89.071708
352,360448,3684,0.280680,0,-32.234805,594.003676,0,0,0,0,0,45,3,0,42,0.066667,0.000000,0.003055,3.082235,0.000220,39.414937,,,,89.071708
353,361472,3667,-0.088727,3,-27.842300,618.936641,0,1,0,2,0,48,2,0,46,0.041667,0.000000,0.008031,3.073947,-0.001568,148.106766,,,,89.071708
354,362496,3652,-0.325128,1,-4.372560,614.442977,0,0,0,1,0,48,2,2,44,0.041667,0.041667,0.001798,3.075007,-0.000657,369.720022,,,,89.071708
355,363520,3636,-0.113739,1,-9.373737,577.298679,0,0,0,1,0,49,3,1,45,0.061224,0.020408,0.003487,3.081456,-0.005914,151.464415,,,,89.071708
356,364544,3621,-0.254778,1,-30.295236,619.668812,0,0,0,0,1,47,3,2,42,0.063830,0.042553,0.001520,3.073202,-0.000688,361.619581,,,,89.071708
357,365568,3605,-0.217423,1,-13.068803,657.801930,0,0,0,0,1,48,3,2,43,0.062500,0.041667,0.001131,3.079498,-0.000049,359.914328,,,,89.071708
358,366592,3590,0.036019,0,-13.068803,657.801930,0,0,0,0,0,46,2,0,44,0.043478,0.000000,0.004989,3.088307,-0.000090,21.937336,,,,89.071708
359,367616,3576,-0.030236,2,-10.025531,692.121737,0,0,0,0,2,47,3,1,43,0.063830,0.021277,0.001911,3.092252,-0.000547,174.439104,,,,89.071708
360,368640,3562,-0.395831,0,-10.025531,692.121737,0,0,0,0,0,48,1,2,45,0.020833,0.041667,0.000336,3.088814,0.000279,345.902559,121.683450,137.116850,1000.00,121.683450
361,369664,3026,-0.029101,4,-25.149087,699.684564,0,0,0,1,3,48,2,0,46,0.041667,0.000000,0.002884,3.094975,0.000458,71.309840,,,,121.683450
362,370688,3017,0.090498,0,-25.149087,699.684564,0,0,0,0,0,47,2,0,45,0.042553,0.000000,0.004328,3.114613,-0.000592,21.801453,,,,121.683450
363,371712,3008,-0.384203,1,-48.676155,729.816107,0,0,0,0,1,48,0,2,46,0.000000,0.041667,0.008610,3.098566,-0.001738,294.600422,,,,121.683450
364,372736,2999,0.202891,1,-55.637490,756.934497,0,0,0,0,1,43,3,0,40,0.069767,0.000000,0.000585,3.100778,-0.001387,29.968959,,,,121.683450
